Black-footed Ferret,Endangered,Mustela nigripes,1.5-2.5 pounds,Grasslands,https://files.worldwildlife.org/wwfcmsprod/images/Black_Footed_Ferret_Daylight_NGP_HERO/hero_small/3au2iht2vf_cbolt_09232015_DSC5470.jpg
Blue Whale,Endangered,Balaenoptera musculus,Close to 200 tons,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Blue_Whale/hero_small/gex0x01aq_shutterstock_764499823.jpg
Bluefin Tuna,Endangered,Thunnus Thynnus,1500 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Atlantic_bluefin_tuna_253467_Tuna_Species/hero_small/925cryk2za_Bluefin_tuna_253467.jpg
Bonobo,Endangered,Pan paniscus,68 to 86 pounds,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Bonobo_Salonga_Congo_DRC/hero_small/v27xe6atd__MA_8993.JPG
Bornean Elephant,Endangered,Elephas maximus borneensis,Unknown,Forests,https://files.worldwildlife.org/wwfcmsprod/images/Bornean_pygmy_elephant_08.10.2012_Species/hero_small/2q6p7236ur_HI_113471.jpg
Chimpanzee,Endangered,Pan troglodytes,Unknown,Forests (moist and dry forests), Savannah Woodlands, and Grassland-Forest mosaics,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Chimpanzee_Uganda/hero_small/5ww9mfzphi_Medium_WW215321.jpg
Fin Whale,Endangered,Balaenoptera physalus,almost 80 tons,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Fin_Whale_Hero_and_Circle_Image_107654.jpg/hero_small/9pnp8aipcp_Fin_Whale_Hero_and_Circle_Image_107654.jpg
Galápagos Penguin,Endangered,Spheniscus mendiculus,5.5 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Galapagos_Penguins/hero_small/1lpkp9pjj3_flipMedium_WW1103163.jpg
Ganges River Dolphin,Endangered,Platanista gangetica gangetica,330-374 pounds,Freshwater rivers,https://files.worldwildlife.org/wwfcmsprod/images/Ganges_River_Dolphin_114110.jpg/hero_small/6trcactwri_Ganges_River_Dolphin_7.26.2012_hero_and_circle_HI_114110.jpg
Green Turtle,Endangered,Chelonia mydas,150-400 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Green_Turtle_Hero_image_260214.jpg/hero_small/4c6b2u4a4o_Green_Turtle_Hero_image_260214.jpg
Hector's Dolphin,Endangered,Cephalorhynchus hectori,up to 110 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Hectors_Dolphin/hero_small/977k5v8nb3_shutterstock_1205907409.jpg
Humphead Wrasse,Endangered,Cheilinus undulatus,over 400 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Humphead_Wrasse/hero_small/3sibeliiqy_Medium_WW180520.jpg
Indian Elephant,Endangered,Elephas maximus indicus,5 tons,Subtropical broadleaf forest, tropical broadleaf moist forest, dry forest,  grassland,https://files.worldwildlife.org/wwfcmsprod/images/Indian_elephant_bathing_08.10.2012_Species/hero_small/thcxue91x_HI_47311.jpg
Indus River Dolphin,Endangered,Platanista minor,155 - 245 pounds,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Indus_River_Dolphin/hero_small/6qlzt26vcs_114120.jpg
Irrawaddy Dolphin,Endangered,Orcaella brevirostris,198-440 pounds,Lakes, Rivers, Estuaries, and Coasts,https://files.worldwildlife.org/wwfcmsprod/images/Irrawaddy_Dolphin_Mekong_Story_Photo_Gallery/hero_small/1yh1bmlzfk_Mekong_Irrawaddy_Dolphin_breaching__c__WWF_Greater_Mekong.jpg
Mountain Gorilla,Endangered,Gorilla beringei beringei,up to 440 lbs,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Mountain_Gorilla_Silverback_WW22557/hero_small/17l7fosr27_Mountain_Gorilla_Silverback_WW22557.jpg
North Atlantic Right Whale,Endangered,Eubalaena glacialis,up to 70 tons,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/North_Atlantic_Right_Whale_238350_North_Atlantic_Right_Whale/hero_small/7362x034ho_HI_238350.jpg
Red Panda,Endangered,Ailurus fulgens,Unknown,Temperate forests,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Red_Panda_279141/hero_small/4ocbtgyvq7_XL_279141.jpg
Sea Lions,Endangered,Zalophus wollebaeki,around 400 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Galapagos_sea_lions/hero_small/51u4huntbw_Medium_WW288551.jpg
Sea Turtle,Endangered,Cheloniidae and Dermochelyidae families,Unknown,Open water and coasts,https://files.worldwildlife.org/wwfcmsprod/images/Sea_Turtle_Hol_Chan_Marine_Reserve_WW1105958/hero_small/5fv88fm3v6_Sea_Turtle_Hol_Chan_Marine_Reserve_WW1105958.jpg
Sei Whale,Endangered,Balaenoptera borealis,About 20 tons,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/07.02.2012.Species.SeiWhale.hero/hero_small/658tkavct1_HI_257682.jpg
Sri Lankan Elephant,Endangered,Elephas maximus maximus,4400 and 12000 pounds,Tropical and Subtropical Moist Broadleaf Forests,https://files.worldwildlife.org/wwfcmsprod/images/Sri_Lanken_Elephant_8.22.2012_Species/hero_small/129xs7v9k5_Hero_and_Circle_Image.jpg
Tiger,Endangered,Panthera tigris,220–660 pounds,Tropical rainforests, evergreen forests, temperate forests, mangrove swamps, grasslands, and savannas,https://files.worldwildlife.org/wwfcmsprod/images/Tiger_resting_Bandhavgarh_National_Park_India/hero_small/6aofsvaglm_Medium_WW226365.jpg
Whale,Endangered,Balaenoptera, Balaena, Eschrichtius, and Eubalaen,20-200 tons,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Humpback_Whale_and_Calf_WW2131047/hero_small/9qixhyhle8_Humpback_Whale_and_Calf_WW2131047.jpg
Whale Shark,Endangered,Rhincodon typus,around 11 tons,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Whale_Shark_Homepage_Image/hero_small/1qve1nybjy_Whale_Shark_Homepage.jpg
Black Spider Monkey,Vulnerable,Ateles paniscus,15-19 pounds,Tropical and subtropical moist broadleaf forests,https://files.worldwildlife.org/wwfcmsprod/images/Black_Spider_Monkey_Hero_and_Circle_Image/hero_small/36empx8swi_Black_Spider_Monkey_8.1.2012_Hero_and_circle_HI_105023.jpg
